"","gene_symbol"
"1234","CNOT4"
"1235","CNOT6"
"1236","CNOT6L"
"1237","CNOT7"
"1238","CNOT8"
"1239","CD36"
"1240","CIZ1"
"1241","CDIP1"
"1242","CDC2B"
"1243","CDC6"
"1244","CCAR1"
"1245","CDCA7"
"1246","CGRRF1"
"1247","CREG1"
"1248","CRABP2"
"1249","CENPBD1"
"1250","CNTRL"
"1251","CENPB"
"1252","CENPF"
"1253","CENPK"
"1254","CENPT"
"1255","CERS2"
"1256","CERS3"
"1257","CERS4"
"1258","CERS5"
"1259","CERS6"
"1260","CDR2"
"1261","CDR2L"
"1262","CCT4"
"1263","CHMP3"
"1264","CHRAC1"
"1265","CHAF1A"
"1266","CBX1"
"1267","CBX2"
"1268","CBX3"
"1269","CBX4"
"1270","CBX5"
"1271","CBX6"
"1272","CBX7"
"1273","CBX8"
"1274","CHD1"
"1275","CHD1L"
"1276","CHD2"
"1277","CHD3"
"1278","CHD4"
"1279","CHD5"
"1280","CHD6"
"1281","CHD7"
"1282","CHD8"
"1283","CHD9"
"1284","C11ORF95"
"1285","C14ORF101"
"1286","C14ORF166"
"1287","C16ORF80"
"1288","C17ORF49"
"1289","C19ORF25"
"1290","C19ORF6"
"1291","C20ORF194"
"1292","C21ORF7"
"1293","C22ORF31"
"1294","C4ORF21"
"1295","CHAMP1"
"1296","CHURC1"
"1297","CIITA"
"1298","CPSF4"
"1299","CPSF4L"
"1300","CLASRP"
"1301","MYCBP"
"1302","CARM1"
"1303","COBRA1"
"1304","CCDC59"
"1305","CCDC71"
"1306","CCDC79"
"1307","CCDC85B"
"1308","CCDC88B"
"1309","COIL"
"1310","CSDC2"
"1311","CSDE1"
"1312","COPS2"
"1313","COPS3"
"1314","COPS4"
"1315","COPS5"
"1316","CBFB"
"1317","CBFA2T2"
"1318","CBFA2T3"
"1319","CIR1"
"1320","CORO1A"
"1321","CPXCR1"
"1322","CRTC1"
"1323","CRTC3"
"1324","CREBZF"
"1325","CRAMP1L"
"1326","CRXOS1"
"1327","CRY1"
"1328","CTDP1"
"1329","CTDSP1"
"1330","CTDSPL"
"1331","CTBP1"
"1332","CTR9"
"1333","CELF3"
"1334","CUL1"
"1335","CUL2"
"1336","CUL3"
"1337","CUL4A"
"1338","CUL4B"
"1339","CUL5"
"1340","CAND1"
"1341","CAND2"
"1342","CXXC1"
"1343","CCNA2"
"1344","CCNC"
"1345","CCNE1"
"1346","CCNH"
"1347","CCNT1"
"1348","CCNT2"
"1349","CDK2"
"1350","CDK5"
"1351","CDK7"
"1352","CDK8"
"1353","CDK9"
"1354","CDKN1A"
"1355","CDKN1B"
"1356","CDKN1C"
"1357","CDKN2A"
"1358","CSRP1"
"1359","CSRP2"
"1360","CSRP3"
"1361","CRIP1"
"1362","CRIP2"
"1363","CPHX"
"1364","CIAO1"
"1365","DPF2"
"1366","DDB1"
"1367","DDB2"
"1368","DAZAP2"
"1369","DZIP1"
"1370","DZIP1L"
"1371","DCP1A"
"1372","DDX5"
"1373","DDX20"
"1374","DDX3X"
"1375","DDX54"
"1376","DHX57"
"1377","DHX34"
"1378","DHX38"
"1379","DEDD"
"1380","DEDD2"
"1381","DAXX"
"1382","DEK"
"1383","DTX1"
"1384","DTX2"
"1385","DNTTIP2"
"1386","DUT"
"1387","DEPDC1"
"1388","DEPDC1B"
"1389","DEPDC4"
"1390","DEPDC5"
"1391","DEPDC7"
"1392","DEPTOR"
"1393","DSP"
"1394","DUS3L"
"1395","DIP2C"
"1396","DAB2"
"1397","DVL1"
"1398","DVL1L1"
"1399","DVL2"
"1400","DVL3"
"1401","DPRX"
"1402","DMC1"
"1403","DMRTA1"
"1404","DMRTA2"
"1405","DMRTB1"
"1406","DMRTC1"
"1407","DMRTC2"
"1408","DNMT1"
"1409","DNMT3A"
"1410","DNMT3B"
"1411","DNMT3L"
"1412","DMAP1"
"1413","DNAJA3"
"1414","DNAJB6"
"1415","DNAJC1"
"1416","DNAJC2"
"1417","DNAJC21"
"1418","ZIM1"
"1419","DOT1L"
"1420","DUX2"
"1421","DUX3"
"1422","DUX4L11"
"1423","DUX4L2"
"1424","DUX4L3"
"1425","DUX4L4"
"1426","DUX4L5"
"1427","DUX4L6"
"1428","DUX4L7"
"1429","DUX4L9"
"1430","DUX5"
"1431","DUXA"
"1432","DUXBL"
"1433","LOC652119"
"1434","LOC653541"
"1435","DMRT3"
"1436","DR1"
"1437","DRAP1"
"1438","DUSP12"
"1439","DYRK1B"
"1440","DYNLL1"
"1441","EP400"
"1442","EEA1"
"1443","ECD"
"1444","ECSIT"
"1445","ENC1"
"1446","EFCAB6"
"1447","EGLN1"
"1448","EGLN2"
"1449","EGLN3"
"1450","ELAVL2"
"1451","EAF1"
"1452","ELMSAN1"
"1453","ELL"
"1454","ELL3"
"1455","ELL2"
"1456","ELP2"
"1457","ERMP1"
"1458","EDF1"
"1459","EPC1"
"1460","EZH1"
"1461","EZH2"
"1462","EID1"
"1463","EID2"
"1464","EGF"
"1465","EPS15"
"1466","ERGIC2"
"1467","ERI2"
"1468","EME2"
"1469","ETOHI1"
"1470","ETV3L"
"1471","EHMT1"
"1472","EHMT2"
"1473","EEF1A1"
"1474","EIF2AK2"
"1475","EIF2C2"
"1476","EIF3C"
"1477","EIF3CL"
"1478","EIF3K"
"1479","EIF5B"
"1480","EVX1"
"1481","EVX2"
"1482","LOC284685"
"1483","ERCC2"
"1484","ERCC3"
"1485","ERCC6"
"1486","ERCC8"
"1487","EXOC2"
"1488","ESPL1"
"1489","EYA1"
"1490","EYA2"
"1491","EYA3"
"1492","EYA4"
"1493","FAM171B"
"1494","FAM189B"
"1495","FAIM3"
"1496","FBXL19"
"1497","FBXW7"
"1498","FBXO41"
"1499","FBXO7"
"1500","FEM1A"
"1501","FBN1"
"1502","FANK1"
"1503","FLNA"
"1504","FLJ46838"
"1505","FIZ1"
"1506","FOXD4L2"
"1507","FOXD4L4"
"1508","FOXI3"
"1509","LOC100288524"
"1510","FOXO3B"
"1511","FMNL2"
"1512","FHL1"
"1513","FHL2"
"1514","FHL5"
"1515","FMR1"
"1516","FXR1"
"1517","FXR2"
"1518","FUS"
"1519","FGD1"
"1520","GPATCH8"
"1521","GPS2"
"1522","GPR123"
"1523","GPR155"
"1524","GABPB1"
"1525","ZFP40"
"1526","GATAD1"
"1527","GATAD2A"
"1528","GATAD2B"
"1529","GPBP1"
"1530","GPBP1L1"
"1531","GTF2A1"
"1532","GTF2A1L"
"1533","GTF2A2"
"1534","GTF2B"
"1535","GTF2E1"
"1536","GTF2E2"
"1537","GTF2F1"
"1538","GTF2F2"
"1539","GTF2H1"
"1540","GTF2H2"
"1541","GTF2H2C"
"1542","GTF2H2D"
"1543","GTF2H3"
"1544","GTF2H4"
"1545","GTF2I"
"1546","GTF3A"
"1547","GTF3C1"
"1548","GTF3C2"
"1549","GTF3C3"
"1550","GTF3C4"
"1551","GTF3C5"
"1552","GLI4"
"1553","GCM2"
"1554","GRM6"
"1555","GLYR1"
"1556","GON4L"
"1557","GADD45A"
"1558","GAS7"
"1559","GREB1"
"1560","GTF2IRD1"
"1561","GTF2IRD2"
"1562","GTF2IRD2B"
"1563","GTPBP1"
"1564","H1F0"
"1565","H1FOO"
"1566","H1FX"
"1567","HMX2"
"1568","HAX1"
"1569","HSBP1"
"1570","HSF2BP"
"1571","HSF3"
"1572","HSF5"
"1573","HSFX1"
"1574","HSFX2"
"1575","HSFY2"
"1576","HSFY1"
"1577","HERC1"
"1578","HELZ"
"1579","HELZ2"
"1580","HCLS1"
"1581","HMOX2"
"1582","HDGFRP2"
"1583","HP1BP3"
"1584","HNRNPA3"
"1585","HNRNPC"
"1586","HNRNPD"
"1587","HNRPDL"
"1588","HNRNPH2"
"1589","HNRNPL"
"1590","HNRPLL"
"1591","HNRNPR"
"1592","HNRNPU"
"1593","HNRNPUL1"
"1594","HEXIM1"
"1595","HMG20B"
"1596","HMGA1P8"
"1597","HMGB1"
"1598","HMGB1P10"
"1599","HMGB1L"
"1600","HMGB2"
"1601","HMGB3"
"1602","HMGB3P1"
"1603","HMGB3P10"
"1604","HMGB3P22"
"1605","HMGB4"
"1606","HMGN2"
"1607","HMGN3"
"1608","HMGN4"
"1609","HMGN1"
"1610","HMGN5"
"1611","HDX"
"1612","HPCA"
"1613","HPCAL1"
"1614","HIRA"
"1615","HIST1H1A"
"1616","HIST1H1B"
"1617","HIST1H1C"
"1618","HIST1H1D"
"1619","HIST1H1E"
"1620","HIST1H1T"
"1621","HIST1H2BB"
"1622","HIST1H2BC"
"1623","HIST1H2BD"
"1624","HIST1H2BE"
"1625","HIST1H2BG"
"1626","HIST1H2BH"
"1627","HIST1H2BJ"
"1628","HIST1H2BN"
"1629","HIST2H2BE"
"1630","HDAC1"
"1631","HDAC10"
"1632","HDAC11"
"1633","HDAC2"
"1634","HDAC3"
"1635","HDAC4"
"1636","HDAC6"
"1637","HDAC7"
"1638","HDAC8"
"1639","HDAC9"
"1640","HILS1"
"1641","HTATSF1"
"1642","HKR1"
"1643","HMGXB3"
"1644","HMGXB4"
"1645","MSX3"
"1646","HOXC12"
"1647","HOXD12"
"1648","HPX-2"
"1649","HIPK1"
"1650","HIPK2"
"1651","HIPK3"
"1652","HOPX"
"1653","HCFC2"
"1654","HTT"
"1655","HABP4"
"1656","MGAT5"
"1657","HIF1AN"
"1658","IKZF4"
"1659","IGHV3-11"
"1660","IGKV4-80"
"1661","IVNS1ABP"
"1662","ID1"
"1663","ID2"
"1664","ID2B"
"1665","ID3"
"1666","ID4"
"1667","ING1"
"1668","ING2"
"1669","ING3"
"1670","ING4"
"1671","ING5"
"1672","IKBKB"
"1673","IKBKAP"
"1674","IKBKG"
"1675","INSR"
"1676","INSM2"
"1677","INTS12"
"1678","INTS4"
"1679","ITGB3BP"
"1680","IRF2BP1"
"1681","IL16"
"1682","ILF2"
"1683","ILF3"
"1684","ISX"
"1685","IFT172"
"1686","IFT57"
"1687","INF2"
"1688","IQSEC3"
"1689","IRX4"
"1690","JAK2"
"1691","JAZF1"
"1692","JRK"
"1693","JRKL"
"1694","JMJD1C"
"1695","JMJD4"
"1696","JMY"
"1697","JUP"
"1698","KAT2A"
"1699","KAT2B"
"1700","KAT5"
"1701","KAT6A"
"1702","KAT6B"
"1703","KAT7"
"1704","LOC648927"
"1705","KAT8"
"1706","KLHDC5"
"1707","KBTBD7"
"1708","KLHL1"
"1709","KLHL12"
"1710","KLHL13"
"1711","KLHL14"
"1712","KLHL21"
"1713","KLHL25"
"1714","KLHL26"
"1715","KLHL28"
"1716","KLHL3"
"1717","KLHL36"
"1718","KLHL4"
"1719","KBTBD5"
"1720","KBTBD10"
"1721","KLHL5"
"1722","KLHL6"
"1723","KLHL8"
"1724","KEAP1"
"1725","KRTAP5-1"
"1726","KRTAP5-9"
"1727","KRTAP9-1"
"1728","KHDRBS1"
"1729","KHDRBS2"
"1730","KHDRBS3"
"1731","KIAA0040"
"1732","KIAA1549"
"1733","KIAA1683"
"1734","KIAA2018"
"1735","RGD1303130"
"1736","KIN"
"1737","KNTC1"
"1738","KANK2"
"1739","KRBA1"
"1740","KCNIP1"
"1741","KCNIP2"
"1742","KCNIP4"
"1743","L3MBTL1"
"1744","L3MBTL2"
"1745","L3MBTL3"
"1746","L3MBTL4"
"1747","LARP1"
"1748","LARP1B"
"1749","LARP4"
"1750","LARP4B"
"1751","LARP6"
"1752","LARP7"
"1753","LBX2"
"1754","LAS1L"
"1755","LIME1"
"1756","LRRFIP2"
"1757","LRRC14"
"1758","LEUTX"
"1759","LDOC1"
"1760","LZTS1"
"1761","LZTS2"
"1762","LRPPRC"
"1763","LGR4"
"1764","LZTR1"
"1765","LENG9"
"1766","LCOR"
"1767","LMO7"
"1768","LIMA1"
"1769","LDB1"
"1770","LDB2"
"1771","LPP"
"1772","LMO1"
"1773","LMO3"
"1774","LMO4"
"1775","LIMD1"
"1776","LHX5"
"1777","LHX8"
"1778","LIN28A"
"1779","LIN28B"
"1780","LIN28C"
"1781","LIN54"
"1782","LSR"
"1783","LTN1"
"1784","LYAR"
"1785","LYL1"
"1786","KDM1A"
"1787","KDM2A"
"1788","KDM2B"
"1789","KDM3A"
"1790","KDM3B"
"1791","KDM4A"
"1792","KDM4B"
"1793","KDM4C"
"1794","KDM4D"
"1795","KDM5A"
"1796","KDM5B"
"1797","KDM5C"
"1798","KDM5D"
"1799","MST1R"
"1800","MAEL"
"1801","MAF1"
"1802","MFSD12"
"1803","MFSD3"
"1804","HLA-DQB1"
"1805","HLA-DQB2"
"1806","HLA-DRB3"
"1807","HLA-DRB4"
"1808","HLA-DRB5"
"1809","MKRN1"
"1810","MKRN2"
"1811","MKRN3"
"1812","MKRN9P"
"1813","MSL3"
"1814","MANSC1"
"1815","MAML1"
"1816","MAML2"
"1817","MAML3"
"1818","MAMLD1"
"1819","MATR3"
"1820","MMP14"
"1821","MDM2"
"1822","MDM4"
"1823","MED10"
"1824","MED12"
"1825","MED13"
"1826","MED13L"
"1827","MED14"
"1828","MED15"
"1829","MED16"
"1830","MED17"
"1831","MED20"
"1832","MED21"
"1833","MED23"
"1834","MED24"
"1835","MED25"
"1836","MED26"
"1837","MED27"
"1838","MED30"
"1839","MED31"
"1840","MED4"
"1841","MED6"
"1842","MED7"
"1843","MED8"
"1844","MEFV"
"1845","MAMSTR"
"1846","MKL1"
"1847","MEIS3P1"
"1848","MEIS3P2"
"1849","MBTPS2"
"1850","MNAT1"
"1851","MIER1"
"1852","MIER2"
"1853","MIER3"
"1854","MET"
"1855","MTDH"
"1856","MTA1"
"1857","MTA2"
"1858","MTA3"
"1859","MSRB2"
"1860","MECP2"
"1861","MBD1"
"1862","MBD2"
"1863","MBD3"
"1864","MBD3L1"
"1865","MBD4"
"1866","MBD6"
"1867","METTL3"
"1868","MICALL1"
"1869","MACF1"
"1870","MID1"
"1871","MID2"
"1872","MCM2"
"1873","MCM3"
"1874","MCM4"
"1875","MCM5"
"1876","MCM6"
"1877","MCM7"
"1878","MCM8"
"1879","MCM9"
"1880","MIS18BP1"
"1881","MINK1"
"1882","MRPL28"
"1883","MRRF"
"1884","MAPK1"
"1885","MAPK14"
"1886","MAPK3"
"1887","MAPK7"
"1888","MAPK8IP1"
"1889","MKI67IP"
"1890","MKL2"
"1891","MMS19"
"1892","MORF4"
"1893","MORF4L1"
"1894","MORF4L2"
"1895","MNX1"
"1896","MPHOSPH8"
"1897","MPLKIP"
"1898","MSX2P1"
"1899","MSS51"
"1900","MTERFD3"
"1901","MEN1"
"1902","MBNL1"
"1903","MBNL2"
"1904","MBNL3"
"1905","MYBBP1A"
"1906","MYSM1"
"1907","MYCBP2"
"1908","MYCLK1"
"1909","MYCS"
"1910","MYCNOS"
"1911","MYRFL"
"1912","MNDA"
"1913","MLLT1"
"1914","MLLT10"
"1915","MLLT11"
"1916","MLLT3"
"1917","MLLT4"
"1918","MLLT6"
"1919","MLL2"
"1920","MLL3"
"1921","MLL4"
"1922","MLL5"
"1923","MDFI"
"1924","MYNN"
"1925","MPRIP"
"1926","NAA15"
"1927","NDUFA13"
"1928","NKD2"
"1929","NANOGP1"
"1930","NANOGNB"
"1931","NDN"
"1932","NDNL2"
"1933","N4BP3"
"1934","NEIL2"
"1935","NEIL3"
"1936","NLK"
"1937","NEDD8"
"1938","NBL1"
"1939","NCALD"
"1940","NCS1"
"1941","NAB1"
"1942","NAB2"
"1943","NRK"
"1944","NKX1-1"
"1945","NKX2-4"
"1946","NME2"
"1947","NMI"
"1948","NONO"
"1949","NOP2"
"1950","NOTCH1"
"1951","NOTCH2"
"1952","NOTCH3"
"1953","NOTCH4"
"1954","NOTO"
"1955","NFATC2IP"
"1956","NFKBID"
"1957","NFKBIA"
"1958","NFKBIB"
"1959","NFKBIE"
"1960","NFKBIL1"
"1961","NFRKB"
"1962","NUFIP1"
"1963","NUFIP2"
"1964","NPAT"
"1965","NUPR1"
"1966","NRBF2"
"1967","LOC643232"
"1968","NSD1"
"1969","NCOA1"
"1970","NCOA2"
"1971","NCOA3"
"1972","NCOA4"
"1973","NCOA5"
"1974","NCOA6"
"1975","NCOA7"
"1976","NCOR1"
"1977","NCOR2"
"1978","NRIP1"
"1979","NRIP3"
"1980","NR0B2"
"1981","NOLC1"
"1982","NOC3L"
"1983","NOC4L"
"1984","NPM1"
"1985","NPM2"
"1986","NUP62"
"1987","NUP98"
"1988","NUPL2"
"1989","NAP1L2"
"1990","NAP1L3"
"1991","NAP1L4"
"1992","NDEL1"
"1993","MGMT"
"1994","OBOX1"
"1995","OBOX2"
"1996","OBOX3"
"1997","OBOX5"
"1998","OBOX6"
"1999","OPTN"
"2000","ORC2"
"2001","OTOP3"
"2002","OTUD7B"
"2003","OVOL3"
"2004","PSPC1"
"2005","PTCH1"
"2006","PTCHD2"
"2007","PAXIP1"
"2008","GCFC1"
"2009","PSIP1"
"2010","PDS5B"
"2011","PDLIM1"
"2012","PDLIM4"
"2013","PDLIM5"
"2014","PIN1"
"2015","PER1"
"2016","PER2"
"2017","PER3"
"2018","PEX14"
"2019","PPARGC1A"
"2020","PPARGC1B"
"2021","PPRC1"
"2022","PPAN"
"2023","PHRF1"
"2024","PHF1"
"2025","PHF11"
"2026","PHF12"
"2027","PHF13"
"2028","PHF14"
"2029","PHF15"
"2030","PHF16"
"2031","PHF17"
"2032","PHF19"
"2033","PHF2"
"2034","PHF20L1"
"2035","PHF21A"
"2036","PHF21B"
"2037","PHF23"
"2038","PHF3"
"2039","PHF5A"
"2040","PHF8"
"2041","FARSA"
"2042","FARSB"
"2043","PTEN"
"2044","PICALM"
"2045","PREX1"
"2046","PREX2"
"2047","PACS2"
"2048","PIKFYVE"
"2049","PGBD1"
"2050","PIM1"
"2051","PINX1"
"2052","PNN"
"2053","PIR"
"2054","PTTG1"
"2055","PTTG1IP"
"2056","PLEK"
"2057","PLEK2"
"2058","PLEKHA4"
"2059","LOC152845"
"2060","PLRG1"
"2061","PLXNA1"
"2062","PLXNA2"
"2063","PLXNA3"
"2064","PLXNB1"
"2065","PLXNB2"
"2066","PLXNB3"
"2067","PLXNC1"
"2068","PLXND1"
"2069","PMS1"
"2070","POGK"
"2071","POGZ"
"2072","PARP12"
"2073","PARP4"
"2074","PABPN1"
"2075","PAPOLA"
"2076","PAPOLB"
"2077","PAPOLG"
"2078","PARN"
"2079","PCBP1"
"2080","PCBP2"
"2081","PCBP3"
"2082","PCBP4"
"2083","PMF1"
"2084","PBRM1"
"2085","PCGF2"
"2086","PCGF3"
"2087","PKHD1"
"2088","PKHD1L1"
"2089","PQBP1"
"2090","PHC1"
"2091","POLE3"
"2092","POLE4"
"2093","POLR1A"
"2094","POLR1B"
"2095","POLR1C"
"2096","POLR1D"
"2097","POLR1E"
"2098","POLR2A"
"2099","POLR2B"
"2100","POLR2C"
"2101","POLR2D"
"2102","POLR2E"
"2103","POLR2F"
"2104","POLR2G"
"2105","POLR2H"
"2106","POLR2I"
"2107","POLR2J"
"2108","POLR2J2"
"2109","POLR2K"
"2110","POLR2L"
"2111","POLR3A"
"2112","POLR3B"
"2113","POLR3C"
"2114","POLR3D"
"2115","POLR3E"
"2116","POLR3F"
"2117","POLR3H"
"2118","POLR3K"
"2119","PTRF"
"2120","PTBP1"
"2121","PUF60"
"2122","PMS2P3"
"2123","KCMF1"
"2124","POTEKP"
"2125","POU2AF1"
"2126","POU5F1B"
"2127","POU5F2"
"2128","PRDM11"
"2129","PRDM6"
"2130","PRDM7"
"2131","PRDM8"
"2132","PRDM9"
"2133","PBXIP1"
"2134","GM5294"
"2135","PFDN1"
"2136","PFDN5"
"2137","PRICKLE3"
"2138","PAWR"
"2139","PDCD11"
"2140","PDCD7"
"2141","PHB2"
"2142","PCNA"
"2143","PA2G4"
"2144","PRR12"
"2145","PRR3"
"2146","PRR7"
"2147","PNRC1"
"2148","PNRC2"
"2149","PRB3"
"2150","PRH1"
"2151","PML"
"2152","PPBPP2"
"2153","PCSK6"
"2154","PROSAPIP1"
"2155","PROX2"
"2156","PTGER3"
"2157","PSMC2"
"2158","PSMC3"
"2159","PSMC5"
"2160","PSMD11"
"2161","PSMD12"
"2162","PRMT3"
"2163","PRMT5"
"2164","PRMT7"
"2165","PIAS1"
"2166","PIAS2"
"2167","PIAS3"
"2168","PIAS4"
"2169","PKN1"
"2170","PRKDC"
"2171","PPP1R10"
"2172","PPP1R13L"
"2173","PPP1R13B"
"2174","PPP1R8"
"2175","PPP2CA"
"2176","PPP2R1A"
"2177","PPP2R3B"
"2178","PPP3R1"
"2179","PRKRIR"
"2180","PTMA"
"2181","PRPF31"
"2182","PRPF4B"
"2183","PRPF6"
"2184","PSMC3IP"
"2185","PCBD1"
"2186","PCBD2"
"2187","PURG"
"2188","PHTF1"
"2189","PHTF2"
"2190","PWP1"
"2191","PYGO1"
"2192","PYGO2"
"2193","RABGEF1"
"2194","RAB11FIP3"
"2195","RAD51"
"2196","RAD51B"
"2197","RAD54B"
"2198","RAN"
"2199","RBCK1"
"2200","RAPGEF3"
"2201","RAPGEF4"
"2202","RAPGEF5"
"2203","RIN3"
"2204","RASSF7"
"2205","RHOA"
"2206","RB1CC1"
"2207","RBAK"
"2208","RBBP8NL"
"2209","RDBP"
"2210","RLF"
"2211","RIPK4"
"2212","RAG1"
"2213","RBPSUH"
"2214","RBPSUH-RS3"
"2215","RCVRN"
"2216","RIMS3"
"2217","RCAN1"
"2218","RGCC"
"2219","RGS11"
"2220","RGS14"
"2221","RGS6"
"2222","RGS7"
"2223","RGS9"
"2224","RFXANK"
"2225","RFXAP"
"2226","RELL2"
"2227","RSF1"
"2228","RFC1"
"2229","REPIN1"
"2230","RPA2"
"2231","RPA4"
"2232","RHOX1"
"2233","RHOX10"
"2234","RHOX11"
"2235","RHOX12"
"2236","RHOX13"
"2237","RHOX2A"
"2238","RHOX2B"
"2239","RHOX2C"
"2240","RHOX2D"
"2241","RHOX2F"
"2242","RHOX2G"
"2243","RHOX2H"
"2244","RHOX3A"
"2245","RHOX3C"
"2246","RHOX3F"
"2247","RHOX3H"
"2248","RHOX4A"
"2249","RHOX4C"
"2250","RHOX4D"
"2251","RHOX4E"
"2252","RHOX4F"
"2253","RHOX4G"
"2254","RHOX6"
"2255","RHOX7"
"2256","RHOX8"
"2257","RHOX9"
"2258","RHOX2"
"2259","RHOX3"
"2260","LOC100363014"
"2261","RCOR2"
"2262","RCOR2L1"
"2263","RCOR3"
"2264","RFPL3"
"2265","RB1"
"2266","RBBP4"
"2267","RBBP5"
"2268","RBBP7"
"2269","RBBP8"
"2270","RBBP9"
"2271","RBL1"
"2272","RBL2"
"2273","RAI14"
"2274","REXO2"
"2275","REXO4"
"2276","RFX8"
"2277","ARHGEF25"
"2278","ROCK1"
"2279","ROCK2"
"2280","RHOXF1"
"2281","RNASE2"
"2282","RPL7"
"2283","RPL7A"
"2284","RPS3"
"2285","RPS6KA4"
"2286","RPS6KA5"
"2287","RC3H1"
"2288","RC3H2"
"2289","RNF6"
"2290","RING1"
"2291","RNF10"
"2292","RNF103"
"2293","RNF113A"
"2294","RNF113B"
"2295","RNF114"
"2296","RNF115"
"2297","RNF125"
"2298","RNF13"
"2299","RNF135"
"2300","RNF138"
"2301","RNF14"
"2302","RNF144A"
"2303","RNF166"
"2304","RNF19A"
"2305","RNF20"
"2306","RNF24"
"2307","RNF25"
"2308","RNF4"
"2309","RNF41"
"2310","RNF8"
"2311","RLIM"
"2312","RYBP"
"2313","RIOK2"
"2314","RBM10"
"2315","RBM14"
"2316","RBM15"
"2317","RBM15B"
"2318","RBM20"
"2319","RBM22"
"2320","RBM26"
"2321","RBM27"
"2322","RBM39"
"2323","RBM5"
"2324","RBM6"
"2325","RBM7"
"2326","RBMX"
"2327","RBMXL2"
"2328","RNPS1"
"2329","RBPMS"
"2330","RBFOX2"
"2331","RRN3"
"2332","RUFY3"
"2333","RUNX1T1"
"2334","RUVBL1"
"2335","RUVBL2"
"2336","S100A1"
"2337","SAP30BP"
"2338","SAFB"
"2339","SAFB2"
"2340","SCAND1"
"2341","SCAND2"
"2342","SCAND3"
"2343","SFMBT1"
"2344","SSPO"
"2345","SEBOX"
"2346","SEC14L2"
"2347","SEMA4A"
"2348","SQSTM1"
"2349","SRRM1"
"2350","SRSF1"
"2351","SRSF10"
"2352","SRSF2"
"2353","SRSF3"
"2354","SRSF5"
"2355","SRSF6"
"2356","SRSF8"
"2357","SRSF9"
"2358","STK36"
"2359","SERTAD1"
"2360","SERTAD2"
"2361","SERTAD3"
"2362","SMYD1"
"2363","SMYD3"
"2364","SETBP1"
"2365","SETD7"
"2366","SETD8"
"2367","SETD1A"
"2368","SETD1B"
"2369","SETD2"
"2370","SETD4"
"2371","SETDB1"
"2372","SETDB2"
